,void,int_arg,long_arg,string_arg,int_array,float_array,string_array,object_arg,euclidean_arg
count,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0
mean,0.0020982061507384903,0.002602819762477985,0.0021324957037247676,0.0022490369102169325,0.0020982061507384903,0.0020982061507384903,0.0022018879135220037,0.0021466340632796976,0.0025689477865406545
std,0.0006979908568610099,0.0018369636668095844,0.0007994659452910787,0.0011256667531318611,0.0006979908568610099,0.0006979908568610099,0.0008591090927828661,0.0008166515331618542,0.0009503636442445955
min,0.001539468765258789,0.0015380382537841795,0.0014030933380126953,0.0014133453369140625,0.001539468765258789,0.001539468765258789,0.0014491081237792967,0.0013799667358398438,0.0016400814056396484
25%,0.0017120838165283205,0.0017714500427246094,0.0017170906066894533,0.001634359359741211,0.0017120838165283205,0.0017120838165283205,0.001734018325805664,0.0017015933990478516,0.002007722854614258
50%,0.0018129348754882808,0.001848697662353516,0.0018134117126464844,0.0017185211181640625,0.0018129348754882808,0.0018129348754882808,0.001840829849243164,0.0018105506896972656,0.0020880699157714844
75%,0.002063274383544922,0.002678632736206055,0.0021305084228515625,0.0023508071899414067,0.002063274383544922,0.002063274383544922,0.0021190643310546875,0.0020744800567626953,0.0026221275329589844
max,0.004457473754882813,0.015433311462402344,0.006471872329711914,0.008374691009521484,0.004457473754882813,0.004457473754882813,0.005431890487670898,0.005358219146728516,0.006142616271972656
