void,int_arg,long_arg,string_arg,int_array,float_array,string_array,object_arg,euclidean_arg
0.07436418533325195,0.004232883453369141,0.0020623207092285156,0.0016815662384033203,0.07436418533325195,0.07436418533325195,0.0021903514862060547,0.002198934555053711,0.002128124237060547
0.004988670349121094,0.001856088638305664,0.0050814151763916016,0.0014431476593017578,0.004988670349121094,0.004988670349121094,0.0030939579010009766,0.002019643783569336,0.002109527587890625
0.004327297210693359,0.0017726421356201172,0.0018813610076904297,0.0015361309051513672,0.004327297210693359,0.004327297210693359,0.002720355987548828,0.0017216205596923828,0.002004861831665039
0.006738185882568359,0.003204345703125,0.0018072128295898438,0.004708528518676758,0.006738185882568359,0.006738185882568359,0.003072023391723633,0.0017588138580322266,0.0020401477813720703
0.0029096603393554688,0.07874417304992676,0.004152774810791016,0.0014123916625976562,0.0029096603393554688,0.0029096603393554688,0.002142190933227539,0.004183530807495117,0.002039194107055664
0.0037605762481689453,0.04357767105102539,0.0020034313201904297,0.0028917789459228516,0.0037605762481689453,0.0037605762481689453,0.002874135971069336,0.001712799072265625,0.002019166946411133
0.006829977035522461,0.0020639896392822266,0.0018224716186523438,0.0014731884002685547,0.006829977035522461,0.006829977035522461,0.0030205249786376953,0.0017764568328857422,0.0019462108612060547
0.002000093460083008,0.001981496810913086,0.001817464828491211,0.0016603469848632812,0.002000093460083008,0.002000093460083008,0.001909494400024414,0.0030460357666015625,0.0037147998809814453
0.004307270050048828,0.001886606216430664,0.0017843246459960938,0.002533435821533203,0.004307270050048828,0.004307270050048828,0.0019578933715820312,0.0019903182983398438,0.0020809173583984375
0.0066640377044677734,0.0018281936645507812,0.001893758773803711,0.0015454292297363281,0.0066640377044677734,0.0066640377044677734,0.0019927024841308594,0.004044771194458008,0.0018775463104248047
0.04901766777038574,0.0029947757720947266,0.0020759105682373047,0.0036535263061523438,0.04901766777038574,0.04901766777038574,0.0028924942016601562,0.0035064220428466797,0.0019328594207763672
0.0023479461669921875,0.0018894672393798828,0.0019559860229492188,0.002328634262084961,0.0023479461669921875,0.0023479461669921875,0.0032989978790283203,0.0018579959869384766,0.0018782615661621094
0.002229452133178711,0.00373077392578125,0.002508401870727539,0.006569385528564453,0.002229452133178711,0.002229452133178711,0.0018012523651123047,0.0019140243530273438,0.0027282238006591797
0.0019550323486328125,0.0016815662384033203,0.0035746097564697266,0.0025360584259033203,0.0019550323486328125,0.0019550323486328125,0.0017132759094238281,0.0018644332885742188,0.0021142959594726562
0.0017583370208740234,0.0017724037170410156,0.0020711421966552734,0.0034284591674804688,0.0017583370208740234,0.0017583370208740234,0.0016753673553466797,0.004485368728637695,0.0034487247467041016
0.0017783641815185547,0.00284576416015625,0.0017888545989990234,0.001556396484375,0.0017783641815185547,0.0017783641815185547,0.0018186569213867188,0.004248142242431641,0.0020706653594970703
0.0016791820526123047,0.006124258041381836,0.002827882766723633,0.0016138553619384766,0.0016791820526123047,0.0016791820526123047,0.002563953399658203,0.0017921924591064453,0.004018306732177734
0.0017693042755126953,0.001932382583618164,0.0017821788787841797,0.0014133453369140625,0.0017693042755126953,0.0017693042755126953,0.0019223690032958984,0.0017764568328857422,0.0037331581115722656
0.001733541488647461,0.0018041133880615234,0.0017995834350585938,0.0017273426055908203,0.001733541488647461,0.001733541488647461,0.003615140914916992,0.0018682479858398438,0.0020568370819091797
0.0016765594482421875,0.0017900466918945312,0.0017943382263183594,0.0015034675598144531,0.0016765594482421875,0.0016765594482421875,0.0019023418426513672,0.0017547607421875,0.002107381820678711
