,void,int_arg,long_arg,string_arg,int_array,float_array,string_array,object_arg,euclidean_arg
count,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
mean,0.0003687474462721083,0.00032007694244384766,0.00032166110144721136,0.0003275752067565918,0.0003687474462721083,0.0003687474462721083,0.00033566819296942816,0.0004087050755818685,0.0006170511245727539
std,6.305964641676463e-05,4.566538966869414e-06,5.918151345839174e-06,3.7158749850794416e-06,6.305964641676463e-05,6.305964641676463e-05,4.264104638520107e-06,6.239203219758125e-05,3.4098286413060747e-05
min,0.00026798248291015625,0.0003094673156738281,0.00031256675720214844,0.0003199577331542969,0.00026798248291015625,0.00026798248291015625,0.0003275871276855469,0.00029087066650390625,0.0005605220794677733
25%,0.0003134608268737793,0.0003170967102050781,0.0003180503845214844,0.0003249645233154297,0.0003134608268737793,0.0003134608268737793,0.0003330707550048828,0.0003375411033630371,0.0005984306335449219
50%,0.0003552436828613281,0.0003194808959960937,0.00032019615173339844,0.0003273487091064453,0.0003552436828613281,0.0003552436828613281,0.00033485889434814453,0.00043582916259765625,0.0006105899810791016
75%,0.0004183650016784668,0.00032144784927368164,0.00032329559326171875,0.0003292560577392578,0.0004183650016784668,0.0004183650016784668,0.00033742189407348633,0.00045299530029296875,0.0006275773048400879
max,0.0005269050598144531,0.00033855438232421875,0.00035381317138671875,0.0003407001495361328,0.0005269050598144531,0.0005269050598144531,0.0003476142883300781,0.0005540847778320311,0.0007789134979248048
